EventDate,VenueCity,VenueState,PostalCode,EventType,RSVPS,Official,formattedZipcode,region
10/21/2015 23:00:00,Kingston,NY,12401,Volunteer meeting to get organized or learn more,0,no,12401,hudsonvalley
10/25/2015 14:00:00,Evanston,IL,60201,Volunteer to gather ballot access signatures,0,no,60201,chicago
10/24/2015 14:00:00,Evanston,IL,60201,Volunteer to gather ballot access signatures,0,no,60201,chicago
10/15/2015 0:00:00,Oakland,CA,94618,"Volunteer activity (flyering, calling, walking, etc)",0,no,94618,sfbay
11/15/2015 0:00:00,Phoenix,AZ,85050,Volunteer meeting to get organized or learn more,0,no,85050,phoenix
10/17/2015 14:00:00,Durango,CO,81301,"Volunteer activity (flyering, calling, walking, etc)",0,no,81301,farmington
10/15/2015 0:30:00,Denver,CO,80218,Volunteer meeting to get organized or learn more,0,no,80218,denver
10/16/2015 0:00:00,Durango,CO,81301,"Volunteer activity (flyering, calling, walking, etc)",0,no,81301,farmington
10/26/2015 23:00:00,Nashville,TN,37209,Volunteer meeting to get organized or learn more,0,no,37209,nashville
10/20/2015 23:00:00,Indianapolis,IN,46220,"Volunteer activity (flyering, calling, walking, etc)",0,no,46220,indianapolis
10/21/2015 16:00:00,Philadelphia,PA,19122,Canvass,0,no,19122,philadelphia
10/24/2015 15:00:00,Canon City,CO,81212,Volunteer meeting to get organized or learn more,0,no,81212,cosprings
10/17/2015 16:45:00,Miami Gardens,FL,33169,Registering Voters,0,no,33169,fortlauderdale
10/23/2015 2:00:00,Olympia,WA,98501,Volunteer meeting to get organized or learn more,0,no,98501,seattle
10/25/2015 14:00:00,Boston,MA,2120,Registering Voters,0,no,02120,boston
10/17/2015 23:00:00,Bay City,MI,48708,"Volunteer activity (flyering, calling, walking, etc)",0,no,48708,saginaw
10/20/2015 21:30:00,Indianapolis,IN,46220,"Volunteer activity (flyering, calling, walking, etc)",0,no,46220,indianapolis
10/16/2015 21:00:00,Mount Dora,FL,32757,"Volunteer activity (flyering, calling, walking, etc)",1,no,32757,orlando
10/17/2015 14:00:00,Melbourne,FL,32901,"Volunteer activity (flyering, calling, walking, etc)",0,no,32901,spacecoast
10/15/2015 2:00:00,Riverside,CA,92501,"Volunteer activity (flyering, calling, walking, etc)",0,no,92501,orangecounty
10/19/2015 22:00:00,Columbus,OH,43215,Volunteer meeting to get organized or learn more,0,no,43215,columbus
10/17/2015 20:00:00,Cocoa,FL,32922,Registering Voters,0,no,32922,spacecoast
10/17/2015 18:00:00,Albany,CA,94706,"Volunteer activity (flyering, calling, walking, etc)",0,no,94706,sfbay
10/17/2015 15:00:00,Savannah,GA,31405,Registering Voters,1,no,31405,savannah
10/21/2015 22:30:00,Chicago,IL,60613,"Volunteer activity (flyering, calling, walking, etc)",1,no,60613,chicago
10/24/2015 15:00:00,Yorkville,IL,60560,Volunteer to gather ballot access signatures,1,no,60560,chicago
10/20/2015 22:30:00,Chicago,IL,60613,"Volunteer activity (flyering, calling, walking, etc)",1,no,60613,chicago
10/25/2015 18:00:00,Seattle,WA,98118,"Volunteer activity (flyering, calling, walking, etc)",0,no,98118,seattle
10/15/2015 23:00:00,Tulsa,OK,74120,"Volunteer activity (flyering, calling, walking, etc)",0,no,74120,tulsa
